date,value
2023-01-01,100.5
2023-01-02,112.3
2023-01-03,105.8
2023-01-04,120.4
2023-01-05,115.2
2023-01-06,130.1
2023-01-07,125.4
2023-01-08,110.2
2023-01-09,118.5
2023-01-10,135.2
2023-01-11,140.1
2023-01-12,132.4
2023-01-13,145.8
2023-01-14,155.2
2023-01-15,148.4
2023-01-16,160.1
2023-01-17,165.4
2023-01-18,158.2
2023-01-19,170.5
2023-01-20,175.2
2023-01-21,180.1
2023-01-22,172.4
2023-01-23,185.8
2023-01-24,195.2
2023-01-25,188.4
2023-01-26,200.1
2023-01-27,210.4
2023-01-28,205.2
2023-01-29,215.1
2023-01-30,225.4
2023-01-31,220.2
2023-02-01,230.5
2023-02-02,235.2
2023-02-03,240.1
2023-02-04,232.4
2023-02-05,245.8
2023-02-06,255.2
2023-02-07,248.4
2023-02-08,260.1
2023-02-09,265.4
